Site;Progeny;Treatment;TreeNb;NbLeaf;Status;NewLeafDate;PruningLeafDate;DryLeafDate;BrokenLeafDate;HarvestingBunchDate;SpatheOpeningDate;BunchSex;PetioleLength;PetioleFW;PetSampleFW;PetSampleDW;PetioleWaterContent;PetioleDW;RachisLength;RachisFW;RacSampleFW;RacSampleDW;RachisWaterContent;RachisDW;LeafletNbRigth;LeafletNbLeft;LeafletTotNb;LeafletFW;LeafSampleFW;LeafSampleDW;LeafWaterContent;LeafletDW;BunchFW;BunchDW;PeduncleFW;PedSampleFW;PedSampleDW;PeduncleWaterContent;PeduncleDW;SpikeletFW;SpiSampleFW;SpiSampleDW;SpikeletWaterContent;SpikeletDW;ParthenoFruitNb;ParthenoFruitFW;ParthenoSampleFW;ParthenoSampleDW;ParthenoFruitWaterContent;ParthenoFruitDW;FruitNb;FruitFW;FruitSampleFW;FruitSampleDW;FruitWaterContent;FruitDW;PulpSampleFW;PulpSampleDW;NutSampleFW;NutSampleDW
BMLE;P63;Irrigation;I1;16;;;02/05/2008;;;;;;;;;;;;632;5500;193.5;50.4;0.739534884;1432.55814;148;182;330;3600;103.4;38.7;0.625725338;1347.388781;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;15;;;30/05/2008;;29/10/2008;;;;;;;;;;628;6500;199.5;52.2;0.738345865;1700.75188;186;180;366;4500;127.5;46.4;0.636078431;1637.647059;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;14;harvesting;;17/11/2008;;29/10/2008;22/03/2008;;;;;;;;;593;4850;99.5;31.9;0.679396985;1554.924623;186;185;371;3300;125.6;48.8;0.611464968;1282.165605;25200;13826;1600;172.9;24.7;0.857142857;228.5714286;5250;102.5;36.8;0.64097561;36.8;491;350;41.6;5.2;0.875;43.75;1930;18000;197.3;127.9;0.351748606;11668.52509;157;98;40.3;29.9
BMLE;P63;Irrigation;I1;13;harvesting;;22/01/2009;;;04/04/2008;;;;;;;;;630;5300;143.5;38.6;0.731010453;1425.644599;188;184;372;2900;91.6;36;0.6069869;1139.737991;21250;11166;1350;163.6;21.3;0.869804401;175.7640587;5250;103;39.1;0.62038835;39.1;876;1250;40.8;5;0.87745098;153.1862745;1342;13400;266.2;175.7;0.339969947;8844.402705;217.3;139.8;48.9;35.9
BMLE;P63;Irrigation;I1;12;;;16/03/2009;;;18/04/2008;;;144;7100;167.9;40;0.761762954;1691.483026;586;5260;128.8;34.5;0.732142857;1408.928571;186;192;378;3700;88.6;36.4;0.589164786;1520.090293;23950;12662;1750;201.7;34.9;0.826970749;302.8011899;5900;182.5;60.9;0.66630137;60.9;650;1000;47.7;2.6;0.945492662;54.50733753;1377;15300;239.8;162;0.324437031;10336.11343;198.8;131.4;41;30.6
BMLE;P63;Irrigation;I1;11;;;04/04/2008;;;09/05/2008;13/03/2008;F;;;;;;;580;5900;198.7;58.7;0.704579768;1742.979366;182;176;358;3900;122.3;49.1;0.598528209;1565.739984;28600;15438;1600;229.5;33.6;0.853594771;234.248366;7000;175;56.7;0.676;56.7;450;650;63.6;7.3;0.885220126;74.60691824;1949;19350;234.4;155.8;0.335324232;12861.47611;186.5;121.3;47.9;34.5
BMLE;P63;Irrigation;I1;10;;;29/08/2008;;;30/05/2008;;F;;;;;;;587;5600;181.4;39;0.785005513;1203.969129;188;186;374;4600;175.1;52.9;0.697886922;1389.72016;19850;9767;1600;134.1;18.8;0.859806115;224.3102163;6000;141.7;45.6;0.678193366;45.6;436;550;62;7.6;0.877419355;67.41935484;1415;11700;243;156.7;0.355144033;7544.814815;193.1;121.3;49.9;35.4
BMLE;P63;Irrigation;I1;9;;;13/09/2008;;;;13/03/2008;F;;;;;;;590;5080;247.9;64.6;0.739411053;1323.791852;186;188;374;2840;103.4;36.8;0.64410058;1010.754352;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;8;;;27/09/2008;;;;02/01/2008;M;;;;;;;618;6300;242.2;59.2;0.755573906;1539.884393;181;187;368;6540;107;42.3;0.604672897;2585.439252;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;7;dry;;;29/04/2009;;;13/02/2008;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;6;dry;;;18/03/2009;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;5;broken;;17/03/2009;;18/03/2009;29/08/2008;27/03/2008;F;174;8260;128.9;30.6;0.762606672;1960.868891;648;6240;155;42.6;0.72516129;1714.993548;;190;190;4120;89;32.4;0.635955056;1499.865169;27875;14300;1700;180.8;24.1;0.86670354;226.6039823;6300;111.1;33.1;0.702070207;33.1;63;74.8;34.2;4;0.883040936;8.748538012;1783;19800;174.8;107.6;0.384439359;12188.10069;134.3;78.9;40.5;28.7
BMLE;P63;Irrigation;I1;4;;;12/05/2009;;;13/09/2008;27/03/2008;F;173;8380;213.6;51;0.761235955;2000.842697;662;7020;136.3;37.2;0.727072634;1915.95011;188;188;376;4120;113.2;41.4;0.634275618;1506.784452;19150;10693;700;157.1;22.9;0.854232973;102.0369192;4520;144.9;48.7;0.663906142;48.7;168;150;57.6;9.8;0.829861111;25.52083333;1775;13780;176.4;115.8;0.343537415;9046.054422;137.5;88.6;38.9;27.2
