Progeny;TreeNb;Treatment;NbLeaf;Status;NewLeafDate;PruningLeafDate;DryLeafDate;BrokenLeafDate;HarvestingBunchDate;SpatheOpeningDate;BunchSex;PetioleLength;PetioleFW;PetSampleFW;PetSampleDW;PetioleWaterContent;PetioleDW;RachisLength;RachisFW;RacSampleFW;RacSampleDW;RachisWaterContent;RachisDW;LeafletNbRigth;LeafletNbLeft;LeafletTotNb;LeafletFW;LeafSampleFW;LeafSampleDW;LeafletWaterContent;LeafletDW;BunchFW;BunchDW;PeduncleFW;PedSampleFW;PedSampleDW;PeduncleWaterContent;PeduncleDW;SpikeletFW;SpiSampleFW;SpiSampleDW;SpikeletWaterContent;SpikeletDW;ParthenoFruitNb;ParthenoFruitFW;ParthenoSampleFW;ParthenoSampleDW;ParthenoFruitWaterContent;ParthenoFruitDW;FruitNb;FruitFW;FruitSampleFW;FruitSampleDW;FruitWaterContent;FruitDW;PulpSampleFW;PulpSampleDW;NutSampleFW;NutSampleDW
63;C1;Control;16;;;12/09/06;27/11/07;24/09/06;;;A;115,00;3040,00;159,60;36,20;0,77;689,50;706,40;6610,00;180,90;50,30;0,72;1837,90;195,00;178,00;373,00;3800,00;259,90;100,50;0,61;1469,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;15;;;04/04/08;09/04/07;16/08/06;;;A;132,00;4900,00;217,80;54,50;0,75;1226,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;14;;;;15/02/07;16/08/06;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;13;;;;15/02/07;16/08/06;;23/04/07;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;12;;;;22/08/07;10/01/07;;08/05/07;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;11;;;14/12/07;;;;;A;150,00;6000,00;207,10;48,60;0,77;1408,00;750,00;6200,00;242,10;59,20;0,76;1516,10;185,00;182,00;367,00;4250,00;230,60;93,20;0,60;1717,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;10;;;05/10/07;;08/03/07;05/10/07;23/04/07;F;167,00;6800,00;232,60;59,30;0,75;1733,60;659,00;4500,00;322,80;97,40;0,70;1357,80;187,00;186,00;373,00;3600,00;222,40;90,00;0,60;1456,80;13795,00;7701,00;1000,00;190,80;26,90;0,86;141,00;3300,00;147,50;52,60;0,64;1176,80;575,00;545,00;35,70;3,90;0,89;59,50;1965,00;8950,00;207,50;146,60;0,30;6323,20;179,40;126,00;28,10;20,60
63;C1;Control;9;;;;;16/08/06;;16/05/07;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;8;;;04/04/08;25/01/07;30/05/07;07/09/07;23/04/07;F;93,00;3100,00;179,60;47,40;0,74;818,20;651,00;6700,00;250,00;67,00;0,73;1795,60;192,00;193,00;385,00;3500,00;150,00;60,50;0,60;1411,70;16150,00;8926,00;900,00;225,80;30,90;0,86;123,20;2350,00;176,80;55,90;0,68;743,00;1743,00;1400,00;45,70;5,40;0,88;165,40;703,00;11500,00;220,40;151,30;0,30;7894,50;194,00;130,90;26,40;20,40
63;C1;Control;7;;;19/10/07;;26/07/07;19/10/07;08/05/07;F;180,00;6000,00;261,40;60,30;0,77;1384,10;718,00;6600,00;173,80;40,00;0,77;1519,00;196,00;188,00;384,00;5000,00;83,40;33,40;0,60;2002,40;15250,00;8911,00;1050,00;137,60;20,90;0,85;159,50;2950,00;177,00;64,30;0,64;1071,70;801,00;550,00;31,70;4,20;0,87;72,90;1445,00;10700,00;203,40;144,60;0,30;7606,80;181,30;127,90;22,10;16,70
63;C1;Control;6;;;16/11/07;;;19/10/07;30/05/07;F;187,00;5450,00;241,50;62,30;0,74;1405,90;665,00;5350,00;165,60;42,80;0,74;1382,70;200,00;202,00;402,00;4150,00;154,40;61,70;0,60;1658,40;16530,00;9298,00;1050,00;167,00;29,00;0,83;182,30;3050,00;169,90;51,50;0,70;924,50;290,00;280,00;19,70;3,00;0,85;42,60;1080,00;12150,00;256,30;171,90;0,30;8149,00;204,20;133,00;52,10;38,90
63;C1;Control;5;;;;;23/03/07;;08/05/07;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
