Urut;Progeny;Treatment;TreeNb;NbLeaf;Status;NewLeafDate;PruningLeafDate;DryLeafDate;BrokenLeafDate;HarvestingBunchDate;SpatheOpeningDate;BunchSex;PetioleLength;PetioleFW;PetSampleFW;PetSampleDW;PetioleWaterContent;PetioleDW;RachisLength;RachisFW;RacSampleFW;RacSampleDW;RachisWaterContent;RachisDW;LeafletNbRigth;LeafletNbLeft;LeafletTotNb;LeafletFW;LeafSampleFW;LeafSampleDW;LeafWaterContent;LeafletDW;HarvestingBunchDate;BunchFW;BunchDW;PeduncleFW;PedSampleFW;PedSampleDW;PeduncleWaterContent;PeduncleDW;SpikeletFW;SpiSampleFW;SpiSampleDW;SpikeletWaterContent;SpikeletDW;ParthenoFruitNb;ParthenoFruitFW;ParthenoSampleFW;ParthenoSampleDW;ParthenoFruitWaterContent;ParthenoFruitDW;FruitNb;FruitFW;FruitSampleFW;FruitSampleDW;FruitWaterContent;FruitDW;PulpSampleFW;PulpSampleDW;NutSampleFW;NutSampleDW
323;P63;Irrigation;I3;-35;harvesting;01/04/09;16/10/10;;;;17/03/10;M;163,00;8580,00;211,00;124,10;0,41;5046,30;671,00;7360,00;212,40;105,70;0,50;3662,70;199,00;194,00;393,00;4020,00;217,00;117,40;0,46;2174,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
324;P63;Irrigation;I3;-36;;15/04/09;18/01/11;;;;31/03/10;M;158,00;6800,00;207,40;53,00;0,74;1737,70;667,00;5250,00;194,60;81,00;0,58;2185,30;192,00;196,00;388,00;3850,00;216,70;108,50;0,50;1927,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
325;P63;Irrigation;I3;-37;;29/04/09;07/03/11;;;;31/03/10;M;167,00;7950,00;207,60;63,10;0,70;2416,40;687,00;7300,00;282,00;127,50;0,55;3300,50;209,00;205,00;414,00;4000,00;224,90;98,30;0,56;1748,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
326;P63;Irrigation;I3;-38;harvesting;13/05/09;27/11/10;;;01/10/10;14/04/10;F;160,00;7180,00;210,80;63,70;0,70;2169,70;682,00;7370,00;209,40;54,60;0,74;1921,70;206,00;204,00;410,00;3970,00;212,70;101,80;0,52;1900,10;38990,00;18640,00;11450,53;1010,00;200,00;76,10;0,62;384,00;3820,00;214,00;129,80;0,39;2317,00;790,00;810,00;38,00;5,50;0,86;117,20;1124,00;13000,00;175,00;116,20;0,34;8632,00;136,00;87,50;38,00;28,70
327;P63;Irrigation;I3;-39;;10/06/09;15/04/11;;;02/10/10;28/04/10;F;163,00;7900,00;222,40;101,00;0,55;3587,70;700,00;7300,00;217,40;74,50;0,66;2501,60;208,00;206,00;414,00;3800,00;214,70;130,00;0,39;2300,90;38991,00;23540,00;12985,00;1330,00;219,00;39,00;0,82;237,00;4530,00;220,00;75,80;0,66;1560,80;450,00;510,00;40,00;5,00;0,88;63,80;189,20;17170,00;140,00;90,70;0,35;11123,70;103,00;65,70;35,00;25,00
328;P63;Irrigation;I3;-40;dry;24/06/09;11/06/11;30/03/11;;16/10/10;12/05/10;F;;;;;;;;;;;;;;;;;;;;;39005,00;18340,00;11870,00;1280,00;215,00;140,10;0,35;834,00;3110,00;217,00;128,60;0,41;1843,10;854,00;970,00;42,00;27,10;0,35;625,90;1301,00;12980,00;150,00;99,00;0,34;8566,80;111,00;69,30;38,00;29,70
329;P63;Irrigation;I3;-41;;09/07/09;14/01/11;;;;12/05/10;M;167,00;7900,00;155,90;59,90;0,62;3035,30;687,00;8200,00;208,50;101,20;0,51;3980,00;206,00;204,00;410,00;4400,00;203,10;88,50;0,56;1917,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
330;P63;Irrigation;I3;-42;harvesting;05/08/09;12/11/10;;;12/11/10;26/05/10;F;156,00;7320,00;245,60;131,90;0,46;3931,20;704,00;7500,00;215,40;71,60;0,67;2493,00;211,00;214,00;425,00;3960,00;209,60;107,20;0,49;2025,30;39032,00;21040,00;13549,75;1280,00;225,00;115,40;0,49;656,00;440,00;220,00;128,70;0,42;257,40;61,50;680,00;48,00;14,20;0,70;201,20;1805,00;18640,00;155,00;103,40;0,33;12434,70;116,00;74,70;39,00;28,70
331;P63;Irrigation;I3;-43;;30/09/09;04/01/11;;;27/11/10;09/06/10;F;180,00;7200,00;190,40;78,40;0,59;2964,70;702,00;7100,00;188,60;80,50;0,57;3030,50;203,00;208,00;411,00;4900,00;187,20;82,50;0,56;2159,50;39047,00;20810,00;11652,00;1660,00;253,00;123,50;0,51;810,00;4010,00;216,00;87,20;0,60;1618,90;415,00;420,00;25,00;6,70;0,73;112,60;2020,00;14720,00;111,00;68,70;0,38;9110,50;83,00;47,90;28,00;20,80
332;P63;Irrigation;I3;-44;dry;25/11/09;07/09/11;07/09/11;;;07/07/10;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
333;P63;Irrigation;I3;-45;;25/11/09;14/05/11;;;;07/07/10;M;111,00;3950,00;188,60;41,30;0,78;865,00;706,00;7500,00;212,50;47,20;0,78;1665,90;210,00;211,00;421,00;4200,00;204,00;85,90;0,58;1768,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
334;P63;Irrigation;I3;-46;;25/11/09;21/01/11;;;14/01/11;04/08/10;F;130,00;6000,00;212,40;72,80;0,66;2056,50;680,00;7300,00;235,70;104,70;0,56;3242,70;210,00;207,00;417,00;4500,00;203,60;105,90;0,48;2340,60;39095,00;18790,00;9776,00;1060,00;203,30;56,20;0,72;293,00;4900,00;193,90;71,70;0,63;1811,90;735,00;960,00;40,20;5,20;0,87;124,20;1307,00;11870,00;129,60;82,40;0,36;7547,00;105,00;63,80;24,60;18,60
335;P63;Irrigation;I3;-47;;09/12/09;15/04/11;;;21/01/11;18/08/10;F;133,00;6450,00;236,90;81,70;0,66;2224,40;691,00;6300,00;203,50;68,40;0,66;2117,50;211,00;208,00;419,00;3950,00;230,80;118,10;0,49;2021,20;39102,00;21620,00;13757,00;1380,00;234,10;95,70;0,59;564,00;5000,00;232,20;132,10;0,43;2844,50;315,00;500,00;27,70;4,10;0,85;74,00;1415,00;14740,00;157,10;109,50;0,30;10273,90;130,60;88,10;26,50;21,40
336;P63;Irrigation;I3;-48;;23/12/09;07/05/11;;;;01/09/10;M;141,00;6000,00;239,90;74,60;0,69;1865,80;670,00;6500,00;183,20;43,20;0,76;1532,80;212,00;211,00;423,00;4200,00;198,90;100,00;0,50;2111,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
337;P63;Irrigation;I3;-49;dry;06/01/10;07/09/11;07/09/11;;;28/09/10;M;143,00;6250,00;244,30;147,00;0,40;3760,70;653,00;6550,00;267,90;127,40;0,52;3114,90;198,00;195,00;393,00;3650,00;266,70;126,70;0,52;1734,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
338;P63;Irrigation;I3;-50;;20/01/10;23/07/11;;;;13/10/10;M;154,00;6800,00;203,00;58,00;0,71;1942,90;656,00;6200,00;199,70;44,50;0,78;1381,60;206,00;202,00;408,00;3750,00;207,30;89,30;0,57;1615,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
339;P63;Irrigation;I3;-51;;03/02/10;17/09/11;;;;13/10/10;M;154,00;6900,00;185,80;40,60;0,78;1507,80;654,00;6750,00;215,50;57,40;0,73;1797,90;205,00;193,00;398,00;3650,00;237,50;96,30;0,59;1480,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
340;P63;Irrigation;I3;-52;;03/03/10;27/09/11;;;15/04/11;24/11/10;F;148,00;5900,00;261,60;87,10;0,67;1964,40;650,00;6000,00;284,70;125,70;0,56;2649,10;212,00;207,00;419,00;3400,00;246,40;156,70;0,36;2162,30;39186,00;17570,00;10185,00;1230,00;221,00;73,50;0,67;409,00;3690,00;219,00;102,90;0,53;1733,80;685,00;690,00;39,00;9,40;0,76;166,30;1349,00;11960,00;135,00;88,90;0,34;7875,90;107,00;68,10;28,00;20,80
341;P63;Irrigation;I3;-53;;17/03/10;14/05/11;;11/05/11;07/05/11;24/11/10;F;150,00;6100,00;176,60;54,60;0,69;1886,00;639,00;6550,00;208,80;71,30;0,66;2236,70;206,00;204,00;410,00;3700,00;201,60;90,20;0,55;1655,50;39208,00;21900,00;12221,00;1280,00;202,00;45,70;0,77;290,00;5420,00;202,00;79,70;0,61;2138,50;530,00;610,00;39,00;6,00;0,85;93,80;1350,00;14590,00;156,00;103,70;0,34;9698,60;126,00;81,00;30,00;22,70
342;P63;Irrigation;I3;-54;;31/03/10;01/07/11;;;01/07/11;05/01/11;F;171,00;8300,00;225,90;74,10;0,67;2722,60;660,00;6650,00;220,40;77,20;0,65;2329,30;208,00;206,00;414,00;3400,00;228,90;103,40;0,55;1535,90;39263,00;18980,00;10691,00;1200,00;226,00;52,50;0,77;279,00;4640,00;203,00;78,20;0,61;1787,40;625,00;800,00;39,00;5,90;0,85;121,00;1292,00;12340,00;138,00;95,10;0,31;8503,90;112,00;73,50;26,00;21,60
343;P63;Irrigation;I3;-55;;28/04/10;;;;23/07/11;02/02/11;F;;;;;;;;;;;;;;;;;;;;;39285,00;19750,00;10656,00;1540,00;204,00;32,50;0,84;245,00;4700,00;230,00;82,00;0,64;1675,70;215,00;300,00;40,00;6,00;0,85;45,00;1420,00;13210,00;128,00;84,20;0,34;8689,70;104,00;65,90;24,00;18,30
344;P63;Irrigation;I3;-56;;12/05/10;;;;;16/02/11;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
345;P63;Irrigation;I3;-57;;26/05/10;;;;;16/03/11;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
346;P63;Irrigation;I3;-58;;09/06/10;;;;;16/03/11;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
347;P63;Irrigation;I3;-59;;23/06/10;17/09/11;;;07/09/11;16/03/11;F;157,50;7450,00;224,60;47,30;0,79;1568,90;680,00;6950,00;222,60;57,10;0,74;1782,80;210,00;208,00;418,00;3850,00;189,50;80,10;0,58;1627,40;39331,00;21560,00;12825,00;1250,00;249,00;64,50;0,74;324,00;3620,00;238,00;110,00;0,54;1673,10;440,00;620,00;42,00;9,20;0,78;135,80;1807,00;16070,00;130,00;86,50;0,34;10692,70;105,00;66,60;25,00;19,90
348;P63;Irrigation;I3;-60;;21/07/10;27/09/11;;;27/09/11;30/03/11;F;157,00;6950,00;251,30;91,50;0,64;2530,50;630,00;7000,00;287,30;109,80;0,62;2675,30;216,00;212,00;428,00;4750,00;258,50;147,50;0,43;2710,30;39351,00;19160,00;13016,00;1000,00;218,00;138,20;0,37;634,00;3710,00;209,00;147,10;0,30;2611,20;540,00;710,00;41,00;16,00;0,61;277,10;1490,00;13740,00;122,00;84,30;0,31;9494,10;97,00;63,10;25,00;21,20
349;P63;Irrigation;I3;-61;;04/08/10;;;;;13/04/11;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
350;P63;Irrigation;I3;-62;;01/09/10;;;;;25/05/11;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
351;P63;Irrigation;I3;-63;;15/09/10;;;;;08/06/11;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
352;P63;Irrigation;I3;-64;;25/09/10;;;;;22/06/11;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
353;P63;Irrigation;I3;-65;;27/10/10;;;;;06/07/11;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
354;P63;Irrigation;I3;-66;;10/11/10;;;;;04/08/11;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
355;P63;Irrigation;I3;-67;;24/11/10;;;;;07/09/11;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
356;P63;Irrigation;I3;-68;;22/12/10;;;;;07/09/11;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
357;P63;Irrigation;I3;-69;;05/01/11;;;;;06/10/11;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358;P63;Irrigation;I3;-70;;19/01/11;;;;;02/11/11;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
359;P63;Irrigation;I3;-71;;02/02/11;;;;;02/11/11;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
360;P63;Irrigation;I3;-72;;02/03/11;
361;P63;Irrigation;I3;-73;;16/03/11;
362;P63;Irrigation;I3;-74;;30/03/11;
363;P63;Irrigation;I3;-75;;27/04/11;
364;P63;Irrigation;I3;-76;;11/05/11;
365;P63;Irrigation;I3;-77;;25/05/11;
366;P63;Irrigation;I3;-78;;08/06/11;
367;P63;Irrigation;I3;-79;;06/07/11;
368;P63;Irrigation;I3;-80;;20/07/11;
369;P63;Irrigation;I3;-81;;04/08/11;
370;P63;Irrigation;I3;-82;;07/09/11;
370;P63;Irrigation;I3;-83;;21/09/11;
370;P63;Irrigation;I3;-84;;06/10/11;
370;P63;Irrigation;I3;-85;;19/10/11;
370;P63;Irrigation;I3;-86;;02/11/11;
371;P63;Irrigation;I4;37;;;01/10/07
372;P63;Irrigation;I4;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
373;P63;Irrigation;I4;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
374;P63;Irrigation;I4;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
375;P63;Irrigation;I4;29;;;29/02/08;;;;;;141,00;5900,00;232,20;62,30;0,73;1583,00;637,00;6200,00;183,90;50,80;0,72;1712,70;201,00;200,00;401,00;3600,00;243,50;83,80;0,66;1238,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
376;P63;Irrigation;I4;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
377;P63;Irrigation;I4;25;pruning;;;17/11/08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
378;P63;Irrigation;I4;24;;;;;;08/02/08;;;;;;;;;;;;;;;;;;;;;;;38024,00;7060,00;2528,00;1250,00;167,70;22,20;0,87;165,00;4300,00;106,20;33,90;0,68;1372,60;102,00;60,00;54,40;6,90;0,87;7,60;1180,00;1450,00;190,60;129,10;0,32;982,10;158,40;107,10;32,20;22,00
379;P63;Irrigation;I4;23;;;01/02/08;;;;;;141,00;6740,00;167,30;35,90;0,79;1446,30;543,00;5900,00;189,60;46,10;0,76;1434,50;160,00;164,00;324,00;2400,00;192,50;74,30;0,61;926,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
380;P63;Irrigation;I4;22;;;08/02/08;;;;;;157,00;5600,00;221,00;52,30;0,76;1325,20;625,00;6100,00;184,80;46,10;0,75;1521,70;184,00;186,00;370,00;3750,00;107,20;40,60;0,62;1420,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381;P63;Irrigation;I4;21;;;29/02/08;;;;;;142,00;5750,00;182,50;45,20;0,75;1424,10;635,00;5700,00;165,30;42,70;0,74;1472,40;198,00;196,00;394,00;2600,00;239,70;81,10;0,66;879,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
382;P63;Irrigation;I4;20;;;22/03/08;;;;;;146,00;5850,00;207,10;52,50;0,75;1483,00;638,00;6500,00;196,10;49,40;0,75;1637,40;182,00;188,00;370,00;2200,00;161,20;62,70;0,61;855,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
383;P63;Irrigation;I4;19;;;02/05/08;;;;;;;;;;;;619,00;5900,00;211,20;54,10;0,74;1511,30;192,00;195,00;387,00;3650,00;103,60;41,30;0,60;1455,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
384;P63;Irrigation;I4;18;;;10/05/08;;;01/02/08;;;;;;;;;649,00;6000,00;190,50;47,70;0,75;1502,40;182,00;180,00;362,00;3650,00;193,60;70,70;0,63;1332,90;38017,00;21950,00;11951,00;1400,00;169,40;21,80;0,87;180,00;4900,00;193,60;61,00;0,68;1543,90;472,00;750,00;35,40;4,50;0,87;95,30;1587,00;14900,00;183,10;124,50;0,32;10131,30;156,40;104,20;26,70;20,30
385;P63;Irrigation;I4;17;;;08/11/08;;;;;;;;;;;;650,00;7020,00;150,50;39,10;0,74;1823,80;192,00;190,00;382,00;2840,00;90,20;36,20;0,60;1139,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
386;P63;Irrigation;I4;16;;;31/05/08;;;29/02/08;;;;;;;;;592,00;5900,00;100,00;22,10;0,78;1303,90;198,00;196,00;394,00;3300,00;151,10;46,30;0,69;1011,20;38045,00;22900,00;11918,00;2500,00;208,40;28,00;0,87;336,00;5100,00;171,30;53,90;0,69;1604,70;794,00;1400,00;82,00;10,10;0,88;172,40;1393,00;13900,00;209,10;147,50;0,30;9805,10;177,60;125,20;31,50;22,30
387;P63;Irrigation;I4;15;pruning;;;17/11/08;16/10/08;22/03/08;;;;;;;;;;;;;;;;;;;;;;;38067,00;22750,00;12434,00;750,00;158,90;24,20;0,85;114,00;6600,00;134,80;43,20;0,68;2115,10;485,00;750,00;74,40;9,10;0,88;91,70;1655,00;14650,00;197,60;136,40;0,31;10112,70;166,90;114,20;30,70;22,20
388;P63;Irrigation;I4;14;;;04/07/08;;;09/05/08;;;;;;;;;595,00;5600,00;260,20;61,90;0,76;1332,20;198,00;196,00;394,00;3400,00;101,60;38,60;0,62;1291,70;38115,00;16400,00;7913,00;1450,00;171,20;20,50;0,88;174,00;5200,00;126,20;37,20;0,71;1532,80;274,00;550,00;50,40;6,40;0,87;69,80;1023,00;9200,00;174,20;116,20;0,33;6136,90;142,50;93,30;31,70;22,90
389;P63;Irrigation;I4;13;harvesting;;27/01/09;;;10/05/08;;;;;;;;;607,00;5800,00;132,40;32,70;0,75;1432,50;198,00;200,00;398,00;3240,00;72,10;27,80;0,61;1249,30;38116,00;19550,00;10107,00;1750,00;279,80;37,10;0,87;232,00;5900,00;126,00;43,10;0,66;2018,20;398,00;500,00;54,60;11,60;0,79;106,20;1435,00;11400,00;199,60;135,70;0,32;7750,40;172,30;116,30;27,30;19,40
390;P63;Irrigation;I4;12;;;15/08/08;;;;;A;;;;;;;645,00;5900,00;179,60;36,90;0,79;1212,20;189,00;192,00;381,00;3300,00;151,70;71,80;0,53;1561,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
391;P63;Irrigation;I4;11;dry;;16/03/09;18/02/09;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
392;P63;Irrigation;I4;10;;;09/10/08;;;;02/01/08;M;;;;;;;596,00;5920,00;226,70;67,70;0,70;1767,90;200,00;194,00;394,00;3440,00;110,00;43,70;0,60;1366,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
393;P63;Irrigation;I4;9;;;08/11/08;;;04/07/08;02/01/08;F;;;;;;;590,00;6700,00;214,50;47,40;0,78;1480,60;194,00;196,00;390,00;3800,00;127,50;46,70;0,63;1391,80;38171,00;23650,00;13119,93;1450,00;205,50;27,10;0,87;191,00;5300,00;217,00;63,80;0,71;1558,20;250,00;300,00;24,90;2,70;0,89;32,50;2052,00;16600,00;179,50;122,60;0,32;11337,90;152,00;103,90;27,50;18,70
394;P63;Irrigation;I4;8;dry;;;07/01/09;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
395;P63;Irrigation;I4;7;;;16/03/09;;;15/08/08;27/02/08;F;137,00;5860,00;162,20;37,20;0,77;1344,00;617,00;5820,00;123,20;32,00;0,74;1511,70;192,00;198,00;390,00;3580,00;94,90;35,70;0,62;1346,70;38213,00;22150,00;12127,23;1650,00;191,20;23,90;0,88;206,00;5000,00;142,40;47,30;0,67;1660,80;462,00;800,00;45,00;5,70;0,87;101,30;1437,00;14700,00;162,50;112,30;0,31;10158,80;135,10;93,20;27,40;19,10
396;P63;Irrigation;I4;6;dry;;;04/03/09;;;25/04/08;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
397;P63;Irrigation;I4;5;dry;;;04/03/09;;09/10/08;10/04/08;F;;;;;;;;;;;;;;;;;;;;;38268,00;15740,00;7808,12;1340,00;257,70;35,10;0,86;183,00;4000,00;154,70;52,40;0,66;1354,90;885,00;1500,00;39,90;4,70;0,88;176,70;810,00;8900,00;256,60;175,70;0,32;6094,00;218,60;148,30;38,00;27,40
398;P63;Irrigation;I4;4;dry;;;15/04/09;;08/11/08;08/05/08;F;;;;;;;;;;;;;;;;;;;;;38298,00;13550,00;7539,08;800,00;155,80;23,00;0,85;118,00;3200,00;157,60;50,70;0,68;1029,40;430,00;650,00;58,90;26,70;0,55;294,70;850,00;8900,00;208,60;142,90;0,32;6096,90;185,00;125,80;23,60;17,10
399;P63;Irrigation;I4;3;dry;;;15/06/09;;;27/03/08;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400;P63;Irrigation;I4;2;dry;;;15/04/09;;;18/06/08;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
401;P63;Irrigation;I4;1;dry;;;15/06/09;;;03/07/08;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402;P63;Irrigation;I4;-1;;12/09/07;;;;;03/07/08;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403;P63;Irrigation;I4;-2;dry;26/09/07;;12/05/09;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
404;P63;Irrigation;I4;-3;dry;24/10/07;;15/04/09;;;31/07/08;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405;P63;Irrigation;I4;-4;dry;24/10/07;;12/05/09;;;13/08/08;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
406;P63;Irrigation;I4;-5;dry;22/11/07;;19/08/09;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407;P63;Irrigation;I4;-6;;05/12/07;;;;;11/09/08;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408;P63;Irrigation;I4;-7;dry;19/12/07;;09/07/09;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409;P63;Irrigation;I4;-8;;02/01/08;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
410;P63;Irrigation;I4;-9;dry;16/01/08;;19/08/09;;;16/10/08;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411;P63;Irrigation;I4;-10;;13/02/08;26/06/09;;;26/06/09;24/12/08;F;129,00;5500,00;135,10;29,00;0,79;1180,60;621,00;6420,00;117,20;29,90;0,74;1637,90;198,00;202,00;400,00;3020,00;61,30;23,10;0,62;1138,00;38528,00;26820,00;15066,04;1820,00;154,30;20,90;0,86;247,00;5420,00;132,20;47,90;0,64;1963,80;671,00;1420,00;52,90;8,20;0,84;220,10;1645,00;18160,00;249,50;173,60;0,30;12635,60;214,40;148,10;35,10;25,50
412;P63;Irrigation;I4;-11;;27/02/08;;;;;21/01/09;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
413;P63;Irrigation;I4;-12;dry;13/03/08;;31/10/09;;;27/11/08;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
414;P63;Irrigation;I4;-13;dry;27/03/08;;31/10/09;;;10/12/08;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
415;P63;Irrigation;I4;-14;dry;10/04/08;;31/10/09;;;10/12/08;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
416;P63;Irrigation;I4;-15;dry;25/04/08;;31/10/09;;;04/02/09;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
417;P63;Irrigation;I4;-16;dry;08/05/08;;30/09/09;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
418;P63;Irrigation;I4;-17;dry;22/05/08;;31/10/09;;;04/02/09;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419;P63;Irrigation;I4;-18;dry;18/06/08;;14/10/09;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420;P63;Irrigation;I4;-19;dry;03/07/08;;14/10/09;;;18/03/09;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
421;P63;Irrigation;I4;-20;;16/07/08;20/03/10;;;;;A;147,50;5220,00;177,00;41,30;0,77;1218,00;552,50;5940,00;145,60;37,10;0,75;1513,60;147,00;150,00;297,00;3000,00;157,40;60,10;0,62;1145,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422;P63;Irrigation;I4;-21;;31/07/08;28/11/09;;;;;A;154,00;6220,00;87,90;16,20;0,82;1146,30;644,00;5920,00;87,40;20,90;0,76;1415,70;198,00;193,00;391,00;4220,00;78,30;29,20;0,63;1573,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
423;P63;Irrigation;I4;-22;harvest;13/08/08;19/12/09;14/10/09;;;29/04/09;F;151,00;5640,00;99,00;20,20;0,80;1150,80;594,00;6780,00;82,70;20,80;0,75;1705,20;186,00;190,00;376,00;4100,00;73,00;21,60;0,70;1213,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
424;P63;Irrigation;I4;-23;dry;27/08/08;;;;;13/05/09;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
425;P63;Irrigation;I4;-24;;24/09/08;05/06/10;;;;27/05/09;M;142,50;5680,00;370,50;210,30;0,43;3224,00;664,00;3075,00;270,50;68,80;0,75;782,10;201,00;195,00;396,00;4020,00;307,50;270,50;0,12;3536,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
426;P63;Irrigation;I4;-25;dry;16/10/08;;23/06/10;;;27/05/09;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
427;P63;Irrigation;I4;-26;dry;16/10/08;;14/04/10;;28/11/09;24/06/09;F;;;;;;;;;;;;;;;;;;;;;38683,00;26920,00;13186,40;1560,00;105,00;14,20;0,86;211,00;6620,00;73,00;24,50;0,66;2221,80;1376,00;2540,00;43,00;5,60;0,87;330,80;1300,00;16200,00;189,00;121,60;0,36;10422,90;154,00;98,50;35,00;23,10
