Urut;Progeny;Treatment;TreeNb;NbLeaf;Status;NewLeafDate;PruningLeafDate;DryLeafDate;BrokenLeafDate;HarvestingBunchDate;SpatheOpeningDate;BunchSex;PetioleLength;PetioleFW;PetSampleFW;PetSampleDW;PetioleWaterContent;PetioleDW;RachisLength;RachisFW;RacSampleFW;RacSampleDW;RachisWaterContent;RachisDW;LeafletNbRigth;LeafletNbLeft;LeafletTotNb;LeafletFW;LeafSampleFW;LeafSampleDW;LeafWaterContent;LeafletDW;HarvestingBunchDate;BunchFW;BunchDW;PeduncleFW;PedSampleFW;PedSampleDW;PeduncleWaterContent;PeduncleDW;SpikeletFW;SpiSampleFW;SpiSampleDW;SpikeletWaterContent;SpikeletDW;ParthenoFruitNb;ParthenoFruitFW;ParthenoSampleFW;ParthenoSampleDW;ParthenoFruitWaterContent;ParthenoFruitDW;FruitNb;FruitFW;FruitSampleFW;FruitSampleDW;FruitWaterContent;FruitDW;PulpSampleFW;PulpSampleDW;NutSampleFW;NutSampleDW
34;P63;Irrigation;I1;13;harvesting;;22/01/09;;;04/04/08;;;;;;;;;630,00;5300,00;143,50;38,60;0,73;1425,60;188,00;184,00;372,00;2900,00;91,60;36,00;0,61;1139,70;38080,00;21250,00;11166,00;1350,00;163,60;21,30;0,87;176,00;5250,00;103,00;39,10;0,62;1993,00;876,00;1250,00;40,80;5,00;0,88;153,20;1342,00;13400,00;266,20;175,70;0,34;8844,40;217,30;139,80;48,90;35,90
35;P63;Irrigation;I1;12;;;16/03/09;;;18/04/08;;;144,00;7100,00;167,90;40,00;0,76;1691,50;586,00;5260,00;128,80;34,50;0,73;1408,90;186,00;192,00;378,00;3700,00;88,60;36,40;0,59;1520,10;38094,00;23950,00;12662,00;1750,00;201,70;34,90;0,83;303,00;5900,00;182,50;60,90;0,67;1968,80;650,00;1000,00;47,70;2,60;0,95;54,50;1377,00;15300,00;239,80;162,00;0,32;10336,10;198,80;131,40;41,00;30,60
36;P63;Irrigation;I1;11;;;04/04/08;;;09/05/08;13/03/08;F;;;;;;;580,00;5900,00;198,70;58,70;0,70;1743,00;182,00;176,00;358,00;3900,00;122,30;49,10;0,60;1565,70;38115,00;28600,00;15438,00;1600,00;229,50;33,60;0,85;234,00;7000,00;175,00;56,70;0,68;2268,00;450,00;650,00;63,60;7,30;0,89;74,60;1949,00;19350,00;234,40;155,80;0,34;12861,50;186,50;121,30;47,90;34,50
37;P63;Irrigation;I1;10;;;29/08/08;;;30/05/08;;F;;;;;;;587,00;5600,00;181,40;39,00;0,79;1204,00;188,00;186,00;374,00;4600,00;175,10;52,90;0,70;1389,70;38136,00;19850,00;9767,00;1600,00;134,10;18,80;0,86;224,00;6000,00;141,70;45,60;0,68;1930,80;436,00;550,00;62,00;7,60;0,88;67,40;1415,00;11700,00;243,00;156,70;0,36;7544,80;193,10;121,30;49,90;35,40
38;P63;Irrigation;I1;9;;;13/09/08;;;;13/03/08;F;;;;;;;590,00;5080,00;247,90;64,60;0,74;1323,80;186,00;188,00;374,00;2840,00;103,40;36,80;0,64;1010,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;P63;Irrigation;I1;8;;;27/09/08;;;;02/01/08;M;;;;;;;618,00;6300,00;242,20;59,20;0,76;1539,90;181,00;187,00;368,00;6540,00;107,00;42,30;0,60;2585,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;P63;Irrigation;I1;7;dry;;;29/04/09;;;13/02/08;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;P63;Irrigation;I1;6;dry;;;18/03/09;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;P63;Irrigation;I1;5;broken;;17/03/09;;18/03/09;29/08/08;27/03/08;F;174,00;8260,00;128,90;30,60;0,76;1960,90;648,00;6240,00;155,00;42,60;0,73;1715,00;;190,00;190,00;4120,00;89,00;32,40;0,64;1499,90;38227,00;27875,00;14300,00;1700,00;180,80;24,10;0,87;227,00;6300,00;111,10;33,10;0,70;1877,00;63,00;74,80;34,20;4,00;0,88;8,70;1783,00;19800,00;174,80;107,60;0,38;12188,10;134,30;78,90;40,50;28,70
43;P63;Irrigation;I1;4;;;12/05/09;;;13/09/08;27/03/08;F;173,00;8380,00;213,60;51,00;0,76;2000,80;662,00;7020,00;136,30;37,20;0,73;1916,00;188,00;188,00;376,00;4120,00;113,20;41,40;0,63;1506,80;38242,00;19150,00;10693,00;700,00;157,10;22,90;0,85;102,00;4520,00;144,90;48,70;0,66;1519,10;168,00;150,00;57,60;9,80;0,83;25,50;1775,00;13780,00;176,40;115,80;0,34;9046,10;137,50;88,60;38,90;27,20
44;P63;Irrigation;I1;3;dry;;16/03/09;18/02/09;;27/09/08;10/04/08;F;;;;;;;;;;;;;;;;;;;;;38256,00;23100,00;13135,00;1300,00;166,10;23,10;0,86;181,00;4840,00;112,70;40,00;0,65;1717,80;298,00;340,00;36,20;4,40;0,88;41,30;1375,00;16620,00;236,50;159,30;0,33;11194,80;192,40;125,90;44,10;33,40
45;P63;Irrigation;I1;2;;;17/10/08;;;17/10/08;25/04/08;F;;;;;;;630,00;6350,00;185,30;49,70;0,73;1703,20;184,00;180,00;364,00;3450,00;124,50;48,30;0,61;1338,40;38276,00;23210,00;12623,00;1320,00;132,60;18,10;0,86;180,00;4630,00;97,00;29,80;0,69;1422,40;390,00;600,00;28,90;3,30;0,89;68,50;1312,00;16660,00;222,10;146,00;0,34;10951,60;175,00;110,60;47,10;35,40
46;P63;Irrigation;I1;1;;;08/11/08;;;08/11/08;22/05/08;F;;;;;;;665,00;7040,00;241,10;65,20;0,73;1903,80;184,00;188,00;372,00;4100,00;150,10;59,00;0,61;1611,60;38298,00;23890,00;13738,00;1100,00;199,10;29,00;0,85;160,00;4700,00;133,30;44,50;0,67;1569,00;165,00;140,00;40,80;5,40;0,87;18,50;1640,00;17950,00;225,60;150,70;0,33;11990,50;181,80;118,50;43,80;32,20
47;P63;Irrigation;I1;-1;dry;12/09/07;24/07/09;09/07/09;;;04/06/08;M;169,00;7020,00;112,40;26,90;0,76;1680,10;669,00;6860,00;139,60;36,90;0,74;1813,30;194,00;199,00;393,00;3720,00;111,30;41,40;0,63;1383,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
